data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6411178,231,ETH3021,3021,23-May-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,Horo Gudru Welega,Guduru,Kombolcha,9.5333,37.5,1,Oromiya Media Network,International,"People protested against the national agenda in Kombolcha, Guduru District. Several people were injured when soldiers responded.",0,1576000000,ETH
6411301,231,ETH3016,3016,22-May-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,East Wellega,Sasiga,Haro,9.15,36.5167,1,Oromiya Media Network,International,"Residents and students protested against the national agenda in Haro, East Welega. One student was killed when soldiers responded.",1,1576000000,ETH
6411302,231,ETH3017,3017,22-May-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,Horo Gudru Welega,Guduru,Kombolcha,9.5333,37.5,1,Oromiya Media Network,International,"People protested against the national agenda in Kombolcha, Guduru District. Several people were injured when soldiers responded.",0,1576000000,ETH
5828187,231,ETH3018,3018,22-May-16,2016,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Jarar,Aware,Aware,8.2561,44.1567,2,Radio Freedom Voice of the Ogadeni People,Subnational,"ONLA forces attacked two government military camps and a reinforcement vehicle in Dita village, Aware district, Jarar province. An unidentified number of soldiers were killed in the attack.",10,1567462229,ETH
5828204,231,ETH3019,3019,22-May-16,2016,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Dollo,Danot,Danod,7.5558,45.2892,2,Radio Freedom Voice of the Ogadeni People,Subnational,"ONLA forces ambushed a government military convoy on the road connecting Danod and Warder in Doolo province, killing an unidentified number of soldiers.",10,1567462229,ETH
6410936,231,ETH3015,3015,22-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,East Harerghe,Haro Maya,Haramaya University,9.424,42.0364,1,Oromiya Media Network,International,Students started to boycott classes at Haramaya University demanding the immediate release of all arrested students and the removal of armed forces from their campus. The boycott was continuing as of 28 May.,0,1575999999,ETH
6411303,231,ETH3013,3013,21-May-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,Horo Gudru Welega,Guduru,Kombolcha,9.5333,37.5,1,Oromiya Media Network,International,"People protested against the national agenda in Kombolcha, Guduru District. Several people were injured when soldiers responded.",0,1576000000,ETH
6411304,231,ETH3012,3012,21-May-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,East Harerghe,Haro Maya,Haramaya University,9.424,42.0364,1,Oromiya Media Network,International,"Students at Haramaya university protested against the national agenda. Military forces responded violently, injuring dozens of students, and arresting over 60 over a period of three days.",0,1576000000,ETH
5828176,231,ETH3014,3014,21-May-16,2016,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Shabelle,Denan,Denan,6.5167,43.5,2,Radio Freedom Voice of the Ogadeni People,Subnational,"ONLA forces attacked government soldiers in Gonley locality in Denan district, Shabelle province, killing 25 government soldiers and wounding another 35.",25,1567462229,ETH
5828194,231,ETH3010,3010,20-May-16,2016,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Nogob,Dihun,Dihun,7.2167,42.7,2,Radio Freedom Voice of the Ogadeni People,Subnational,"ONLA forces attacked government soldiers in Biyokolmey locality in Duhun district, Nogob province, killing 20 soldiers and wounding another 30.",20,1567462229,ETH
6410943,231,ETH3009,3009,20-May-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,East Harerghe,Haro Maya,Haramaya University,9.424,42.0364,1,Oromiya Media Network,International,"Students at Haramaya university protested against the national agenda. Military forces responded violently, injuring dozens of students, and arresting over 60 over a period of three days.",0,1575999999,ETH
6411309,231,ETH3006,3006,19-May-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,West Harerghe,Mesela,Masalaha,9.0833,41.1667,1,Oromiya Media Network,International,"Soldiers fired at protesting students, farmers and residents who had marched to Masalaha town in West Hararge from neighbouring villages to call for the release of 18 students arrested two days earlier in the district.",0,1576000000,ETH
6411310,231,ETH3003,3003,19-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,East Harerghe,Goro Gutu,Karamile,9.3768,41.3774,1,Oromiya Media Network,International,Students at Karamile Preparatory School staged sit-ins demanding the release of arrested students in the country and the postponing of national exams.,0,1576000000,ETH
6411190,231,ETH3005,3005,19-May-16,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Students (Ethiopia); Oromo Ethnic Group (Ethiopia),6,16,Eastern Africa,Ethiopia,Oromia,East Harerghe,Haro Maya,Haramaya University,9.424,42.0364,1,Oromiya Media Network,International,"Students at Haramaya university protested against the national agenda. Military forces responded violently, injuring dozens of students, and arresting over 60 over a period of three days.",0,1576000000,ETH
5759180,231,ETH3000,3000,18-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,West Harerghe,Mieso,Asabot,9.2776,40.5725,1,Daandii,Other,People protested against the government agenda in Asabot. Security forces arrested and detained 7 people after the protests.,0,1567462146,ETH
6411315,231,ETH2998,2998,17-May-16,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60,Eastern Africa,Ethiopia,Oromia,West Harerghe,Mieso,Asabot,9.2776,40.5725,1,Oromiya Media Network,International,"People protested against the national agenda in Asabot, West Hararge. Soldiers arrested seven people following the protests.",0,1576000000,ETH
