data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
4952810,231,ETH1499,1499,2010-11-23,2010,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.2206,43.5572,1,All Africa,Regional,ONLF claim to have killed 35 soldiers in 3 days of fighting. Government denies,0,1552577544,ETH
4952905,231,ETH1498,1498,2010-11-19,2010,1,Battles,Armed clash,OLF: Oromo Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Oromia,Borena,Moyale,Moyale,3.5391,39.0490,1,All Africa,Regional,Government forces arrest 25 OLF/A rebels.,0,1552577544,ETH
6269827,231,ETH1496,1496,2010-11-15,2010,3,Violence against civilians,Attack,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),Anuak Ethnic Group (Ethiopia),7,17,Eastern Africa,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.2500,34.5833,2,HRW,Other,"Human Rights Watch documented at least seven credible accounts of people dying as a result of the beatings inflicted by the military and heard of many more that could not be corroborated. Between October 2010 and January 2011 in many villages, including almost all of the villagized areas in Dimma and Gog woredas; Ukuna and Chobokir in Abobo woreda; Opagna and Wan Carmie in Gambella woreda; and around Gambella town.",5,1572403721,ETH
6269662,231,ETH1497,1497,2010-11-15,2010,3,Violence against civilians,Attack,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),Anuak Ethnic Group (Ethiopia),7,17,Eastern Africa,Ethiopia,Gambela Peoples,Agnuak,Gog,Gogo,7.5833,34.5000,1,HRW,Other,"Soldiers took five boys and just beat them badly - three were taken to hospital, two of them died. The other three are still in serious condition. There were eight arrests. Location: Gog Depache, between October 2010 and January 2011.",2,1572403721,ETH
4953139,231,ETH1495,1495,2010-11-12,2010,1,Battles,Armed clash,OLF: Oromo Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Oromia,Bale,Mena,Bale,6.4167,39.7500,1,All Africa,Regional,"OLA claim to have killed 31, wounded 15 and captured military equipment",31,1552577544,ETH
4953196,231,ETH1493,1493,2010-11-10,2010,1,Battles,Armed clash,OLF: Oromo Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Oromia,West Harerghe,Hawi Gudina,Darolebu,8.1667,40.7833,1,All Africa,Regional,"OLA claim destroyed military camp, killing 3 at Korjo",3,1552577544,ETH
4953197,231,ETH1494,1494,2010-11-10,2010,1,Battles,Armed clash,OLF: Oromo Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Oromia,West Harerghe,Hawi Gudina,Darolebu,8.1667,40.7833,1,All Africa,Regional,"OLA claim killed 19, injured 23 at Sala",19,1552577544,ETH
4953221,231,ETH1492,1492,2010-11-09,2010,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.3500,42.8000,2,Reuters,International,"ONLF claim that it has killed 267 soldiers since beginning of October, in 34 attacks, with minimal rebel casualties. Government dismisses claims",30,1552577544,ETH
4953328,231,ETH1491,1491,2010-11-04,2010,1,Battles,Armed clash,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Oromia,East Harerghe,Babile,Babile,9.2167,42.3333,1,All Africa,Regional,"ONLF claim victory, capturing army barracks at Dhalac, killing 25, wounding 32",25,1552577544,ETH
4953845,231,ETH1489,1489,2010-10-21,2010,1,Battles,Armed clash,OLF: Oromo Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Oromia,West Harerghe,Boke,Boke,8.7200,40.6400,1,All Africa,Regional,"OLA claim 13 soldiers killed, 6 wounded, in Arada Kurati of Boke Tiko",13,1552577545,ETH
4953846,231,ETH1490,1490,2010-10-21,2010,1,Battles,Armed clash,OLF: Oromo Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Oromia,West Harerghe,Boke,Boke,8.7200,40.6400,1,All Africa,Regional,"OLA claim that 11 soldiers killed, 7 injured, in Qurqura in Boke Tiko District, West Hararge",11,1552577545,ETH
6341436,231,ETH1488,1488,2010-10-17,2010,1,Violence against civilians,Attack,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.2206,43.5572,1,All Africa; Local Source,Subnational-Regional,"ONLA claims that 4 civilians were brutally killed by military, at least 100 detained",4,1574110418,ETH
5267736,231,ETH1487,1487,2010-10-12,2010,1,Strategic developments,Agreement,ONLF: Ogaden National Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12,Eastern Africa,Ethiopia,Addis Ababa,Addis Ababa,Addis Ababa,Addis Ababa,9.0330,38.7000,1,AFP,International,"Agreement: Faction of ONLF signs peace agreement with government, allowing them to avail of immunity from persecution and development into a political party. The faction could represent up to 80% of the entire rebel movement",0,1561469141,ETH
6764080,231,ETH1486,1486,2010-10-05,2010,3,Violence against civilians,Attack,Military Forces of Ethiopia (1995-2018),,1,Civilians (Ethiopia),,7,17,Eastern Africa,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.3500,42.8000,2,Local Source,Subnational,Several Ogaden civilians reported killed by government forces between the dates of 5-19 October. Specific numbers not provided. Unknown fatalities.,3,1580162540,ETH
