Country,Population(millions),Working_age_population(%),Participation_rate(%),Unemployment_rate(%),Men(15_24),women(15_24),Men(25-64),Women(25-64),Average_schooling (years)_total,Skills_as_a_constraint (%),Ed_attainment_Reading,Ed_attainment_Mathamatics,Ed_attainment_Mathamatics,employment_sector_primary,employment_sector_secondary,employment_sector_tertiary,employment_civil_service,Wage employment,Self-employment      ,Farmng,Employment in urban areas (%),Accountant ,Chemical_engineer,Bus_driver,Sewing_machine_operator,Working_poor (% below 1.25 PPP dollars a day),Satisfied with life (% in latest survey)_Employed,Satisfied with life (% in latest survey)_Unemployed,Satisfied with life (% in latest survey)_Out_of_Labor_Force,Labor share (% of national income),Gender gap in earnings (women/men),Value_added_per_worker_primary,Value_added_per_worker_secondary,Value_added_per_worker_tertiary,Civic participation (% in latest survey)_employed,Civic participation (% in latest survey)_unemployed,Civic participation (% in latest survey)_out_of_labor_force,Wage_inEquality (90%/10%ratio),Youth_unemployment_Men,Youth_unemployment_woman,Youth not in school or at work (% of youth cohort)_Men,Youth not in school or at work (% of youth cohort)_women,Core_ILO_conventions_ratified,Minimum_wage_(2005_dollars_per_year),Separation cost (weeks of salary)after_one_year,Separation cost (weeks of salary)after_10_years,Union_Membership(%wage_employment),Labor market policies (spending in % of GDP),Social_security_contributions(%of_salary),Social_security_coverage,conventions_on_migration_ratified,Immigrants_(%of population),Emmigrants_(%native_population),Remittances(%GDP),,,,,,
Croatia,4.4, 67.2 , 61.5 ,11.8, 40.2 , 27.6 , 74.0 , 62.0 ,9.0,, 476 , 460 , 486 ,14.9,27.3,57.6, 15.5 , , , ,   ,  ,  ,  ,  ,,,,,,," 12,516 "," 34,397 "," 39,446 ",,,,,31.1,35.0,,,8,5748,4.3,25.1,,, 36.7 , 76.0 ,0,15.8,16.9,2.2,,,,,,
Cuba,11.3,  ,  ,1.6,  ,  ,  ,  ,10.6,,  ,  ,  ,,,, 42.5 , , , ,   ,  ,  ,  ,  ,,,,,44.5,," 2,848 "," 12,553 "," 12,875 ",,,,,2.8,3.5,,,7,,,,,, 14.0 ,  ,1,0.1,9.8,,,,,,,
Czech Republic,10.5, 70.6 , 70.2 ,7.3, 36.2 , 25.3 , 87.8 , 69.1 ,12.1,29, 478 , 493 , 500 ,3.1,38.0,57.9, 13.4 ,84.3,14.7,1.0, 59.4 ," 23,583 "," 22,528 "," 12,911 ",  ,,,,,49.2,0.99," 30,708 "," 38,029 "," 41,145 ",,,,,18.3,18.5,9.6,12.3,8,4608,21.7,21.7,17,0.72, 31.5 ,  ,0,4.3,3.5,0.6,,,,,,
Denmark,5.5, 65.6 , 79.4 ,7.5, 67.6 , 67.4 , 86.1 , 78.0 ,10.1,, 495 , 503 , 499 ,2.4,19.6,77.7, 30.7 ,91.7,7.2,1.1, 75.6 ,  ,  ,  ,  ,,,,,66.5,," 65,098 "," 120,024 "," 108,138 ",,,,,16.1,11.8,11.9,14.5,8,0,0.0,0.0,69,3.33, 8.0 ,  ,0,8.7,4.9,0.2,,,,,,
Dominican Republic,9.9, 63.5 , 59.4 ,14.2, 49.0 , 26.5 , 87.9 , 51.8 ,7.4,,  ,  ,  ,14.6,18.1,67.4,  ,50.4,37.1,12.5, 69.3 ,  ,  ,  ,  ,2.0,,,,,," 4,814 "," 17,142 "," 11,879 ",,,,,,,14.1,28.1,8,2436,7.8,45.8,,,  , 26.9 ,0,4.4,9.8,6.5,,,,,,
Ecuador,14.5, 62.5 , 66.8 ,6.5, 55.4 , 33.8 , 94.5 , 59.9 ,8.1,34,  ,  ,  ,28.4,18.6,53.0, 7.9 ,54.6,27.7,17.7, 67.7 ,  ,  ,  ,  ,5.0,,,,,," 1,942 "," 14,885 "," 8,338 ",12.2,8.7,11.6,4.9,11.7,18.1,8.3,23.6,8,2328,14.1,54.2,,, 19.0 ,  ,2,2.7,7.5,4.4,,,,,,
"Egypt, Arab Rep.",81.1,  ,  ,8.7,  ,  ,  ,  ,7.1,,  ,  ,  ,,,, 23.6 , , , ,   ,  ,  ,  ,  ,,52.2,42.9,54.6,26.1,," 2,759 "," 10,894 "," 7,308 ",16.9,17.3,20.0,,,,,,8,336,13.0,67.2,,, 35.0 , 55.1 ,1,0.3,4.4,3.5,,,,,,
El Salvador,6.2, 61.1 , 64.8 ,7.3, 62.8 , 31.6 , 93.2 , 57.8 ,8.0,30,  ,  ,  ,,,,  ,,,, 67.7 ," 17,006 "," 16,327 "," 4,083 "," 2,079 ",9.0,82.3,75.6,78.0,,," 4,839 "," 10,641 "," 8,561 ",15.8,12.2,13.7,,,,13.5,36.7,8,936,4.3,42.9,,,  , 22.9 ,1,0.7,17.1,16.1,,,,,,
Eritrea,5.3,  ,  ,,  ,  ,  ,  ,,1,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,7,0,4.0,29.3,,,  ,  ,0,0.3,15.2,,,,,,,
Estonia,1.3, 67.8 , 73.8 ,16.9, 42.3 , 34.3 , 86.3 , 79.9 ,11.8,30, 501 , 512 , 528 ,4.2,30.1,65.1, 22.8 ,93.7,5.1,1.2, 53.3 ,  ,  ,  ,  ,,,,,59.7,0.69," 1,831 "," 1,992 "," 2,157 ",,,,4.3,35.4,30.0,10.6,11.2,8,4236,8.6,17.2,7,1.62, 29.9 ,  ,0,13.6,12.8,1.7,,,,,,
Ethiopia,82.9,  ,  ,,  ,  ,  ,  ,,,  ,  ,  ,,,,  , , , ,   ,  ,  ,  ,  ,,40.2,38.2,47.5,,,,,,21.4,27.2,26.9,,,,,,8,0,8.6,30.1,,, 15.0 ,  ,0,0.7,0.7,0.8,,,,,,
