Country,Population(millions),Working_age_population(%),Participation_rate(%),Unemployment_rate(%),Men(15_24),women(15_24),Men(25-64),Women(25-64),Average_schooling (years)_total,Skills_as_a_constraint (%),Ed_attainment_Reading,Ed_attainment_Mathamatics,Ed_attainment_Mathamatics,employment_sector_primary,employment_sector_secondary,employment_sector_tertiary,employment_civil_service,Wage employment,Self-employment      ,Farmng,Employment in urban areas (%),Accountant ,Chemical_engineer,Bus_driver,Sewing_machine_operator,Working_poor (% below 1.25 PPP dollars a day),Satisfied with life (% in latest survey)_Employed,Satisfied with life (% in latest survey)_Unemployed,Satisfied with life (% in latest survey)_Out_of_Labor_Force,Labor share (% of national income),Gender gap in earnings (women/men),Value_added_per_worker_primary,Value_added_per_worker_secondary,Value_added_per_worker_tertiary,Civic participation (% in latest survey)_employed,Civic participation (% in latest survey)_unemployed,Civic participation (% in latest survey)_out_of_labor_force,Wage_inEquality (90%/10%ratio),Youth_unemployment_Men,Youth_unemployment_woman,Youth not in school or at work (% of youth cohort)_Men,Youth not in school or at work (% of youth cohort)_women,Core_ILO_conventions_ratified,Minimum_wage_(2005_dollars_per_year),Separation cost (weeks of salary)after_one_year,Separation cost (weeks of salary)after_10_years,Union_Membership(%wage_employment),Labor market policies (spending in % of GDP),Social_security_contributions(%of_salary),Social_security_coverage,conventions_on_migration_ratified,Immigrants_(%of population),Emmigrants_(%native_population),Remittances(%GDP),,,,,,
Sudan,43.6,  ,  ,  ,  ,  ,  ,  ,3.3,,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,,,,25.1,,,,,,,,,,,,,,,,,,,27.0,  ,,,,,,,,,,
Swaziland,1.2,  ,  ,  ,  ,  ,  ,  ,7.6,,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,, 15.4 ,,,,,,,,,,
Sweden,9.4, 65.3 , 79.5 , 8.4 , 52.1 , 51.4 , 90.1 , 83.1 ,11.6,, 497 , 494 , 495 ,2.1,19.9,77.7,  , 93.9 ,5.9,0.2, 38.8 ,  ,  ,  ,  ,,92.4,77.1,88.6,61.1,0.91," 93,839 "," 135,069 "," 94,173 ",72.3,43.8,60.4,3.8,26.7,23.7,15.7,13.7,,,,,,1.84,28.7,  ,,,,,,,,,,
Switzerland,7.8, 68.0 , 82.4 , 4.5 , 69.1 , 66.5 , 92.5 , 78.5 ,9.9,, 501 , 534 , 517 ,3.3,21.1,70.9, 12.1 ,   , , ,   ,  ,  ,  ,  ,,93.7,75.6,90.7,,," 48,439 "," 166,833 "," 130,553 ",59.4,7.5,45.6,,7.3,8.4,,,,,,,,,10.4,  ,,,,,,,,,,
Syrian Arab Republic,20.4,  ,  , 8.4 ,  ,  ,  ,  ,5.3,,  ,  ,  ,,,, 19.8 ,   , , ,   ,  ,  ,  ,  ,,,,,,," 61,887 "," 40,385 "," 38,924 ",,,,,15.3,40.2,,,,,,,,,24.0, 26.8 ,,,,,,,,,,
Tajikistan,6.9,  ,  ,  ,  ,  ,  ,  ,9.3,34,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,,,,15.7,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,
Tanzania,44.8, 50.5 , 78.4 ,  , 57.0 , 55.3 , 95.3 , 87.8 ,5.5,,  ,  ,  ,78.5,2.7,18.8,  , 8.1 ,11.6,80.4, 21.1 ,  ,  ,  ,  ,,23.5,22.1,27.2,,,,,,7.6,9.3,6.7,13.3,,,9.5,16.9,,,,,,,20.0,  ,,,,,,,,,,
Thailand,69.1, 67.5 , 81.5 , 1.2 , 56.0 , 39.9 , 95.4 , 83.0 ,7.5,, 421 , 419 , 425 ,42.1,20.0,38.0, 7.3 , 41.3 ,20.9,37.8, 31.3 ,  ,  ,  ,  ,0.0,84.5,72.1,91.3,33.2,0.95," 1,934 "," 15,349 "," 8,209 ",42.7,32.4,44.4,9.6,3.7,5.1,2.5,12.0,,,,,,0.04,9.7,  ,,,,,,,,,,
Timor-Leste,1.1, 53.3 , 43.0 ,  , 17.5 , 10.5 , 79.8 , 36.8 ,,19,  ,  ,  ,50.5,9.8,39.7,  , 28.0 ,21.8,50.2,   ,  ,  ,  ,  ,,,,,,,,,,,,,5.5,,,15.6,22.5,,,,,,,,  ,,,,,,,,,,
Togo,6.0,  ,  ,  ,  ,  ,  ,  ,5.9,17,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,
Tonga,0.1,,  ,,  ,  ,  ,  ,9.4,59,,,,,,,  ,   , , ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,
Trinidad and Tobago,1.3,  ,  , 4.6 ,  ,  ,  ,  ,9.6,, 416 , 414 , 410 ,,,, 21.1 ,   , , ,   ,  ,  ,  ,  ,,82.5,71.6,79.8,33.0,," 3,883 "," 82,586 "," 24,172 ",3.8,3.0,4.1,,8.8,12.9,,,,,,,,1.20,10.8, 71.1 ,,,,,,,,,,
Tunisia,10.5,  ,  , 14.2 ,  ,  ,  ,  ,7.3,, 404 , 371 , 401 ,,,,  ,   , , ,   ,  ,  ,  ,  ,,,,,36.1,,,,,,,,,,,,,,,,,,,23.0,  ,,,,,,,,,,
Turkey,72.8, 67.0 , 51.9 , 11.9 , 49.8 , 25.5 , 82.3 , 31.0 ,7.0,25, 464 , 445 , 454 ,23.7,26.2,50.1, 12.8 , 60.9 ,16.3,22.8,,  ,  ,  ,  ,,85.9,70.4,84.3,,0.96," 10,596 "," 27,153 "," 33,775 ",4.8,3.3,5.1,4.2,21.0,23.1,21.9,46.9,,,,,,0.12,38.0, 58.6 ,,,,,,,,,,
Turkmenistan,5.0,  ,  ,  ,  ,  ,  ,  ,,,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,23.0,  ,,,,,,,,,,
Uganda,33.4,,  , 4.2 ,  ,  ,  ,  ,5.4,,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,49.6,31.2,49.6,,, 395 ," 4,542 "," 1,870 ",7.0,4.7,9.6,,,,,,,,,,,0.78,15.0,  ,,,,,,,,,,
Ukraine,45.9,  ,  , 8.8 ,  ,  ,  ,  ,11.1,42,  ,  ,  ,,,, 20.3 ,   , , ,   ,  ,  ,  ,  ,,60.1,57.3,48.4,56.3,," 3,997 "," 11,824 "," 7,756 ",29.1,35.7,25.3,,,,,,,,,,,0.00,41.8, 62.1 ,,,,,,,,,,
United Kingdom,62.2, 66.1 , 75.5 , 7.8 , 61.8 , 56.4 , 86.5 , 72.4 ,9.8,, 494 , 492 , 514 ,1.2,19.1,78.9, 19.6 , 88.8 ,10.6,0.6, 96.1 ," 56,524 ",  ," 32,388 "," 23,513 ",,89.8,79.6,91.8,,," 56,013 "," 88,189 "," 75,957 ",31.0,19.5,32.0,,21.3,16.9,12.8,16.4,,,,,,0.71,23.8,  ,,,,,,,,,,
United States,309.1, 66.8 , 73.9 , 9.6 , 56.7 , 53.5 , 85.1 , 71.8 ,13.1,, 500 , 487 , 502 ,1.6,16.7,81.2, 15.6 ,   , , ,   ,  ,  ,  ,  ,,85.9,81.0,87.8,56.0,," 59,247 "," 118,051 "," 97,669 ",40.2,36.5,40.7,,20.8,15.8,,,,,,,,1.18,18.6,  ,,,,,,,,,,
Uruguay,3.4, 62.9 , 75.0 , 7.6 , 61.3 , 44.5 , 92.5 , 72.8 ,8.6,31, 426 , 427 , 427 ,11.6,21.4,67.0, 12.5 , 71.3 ,24.1,4.6, 93.9 ,  ,  ,  ,  ,0.0,88.9,80.2,86.8,,,,,,30.2,15.7,29.4,5.8,16.9,26.5,14.2,22.1,,,,,,0.01,32.0, 78.5 ,,,,,,,,,,
Uzbekistan,28.2,  ,  ,  ,  ,  ,  ,  ,,35,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,29.0,  ,,,,,,,,,,
"Venezuela, RB",28.8,  ,, 7.6 ,,,,,7.0,25,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,80.8,75.0,76.6,,,,,,16.9,16.7,13.4,,12.3,15.9,,,,,,,,,23.9, 33.9 ,,,,,,,,,,
Vietnam,86.9, 69.0 , 79.6 , 2.4 , 56.3 , 49.5 , 93.9 , 87.9 ,6.4,9,  ,  ,  ,54.0,20.4,25.7, 4.4 , 36.3 ,7.9,55.8, 25.9 ,  ,  ,  ,  ,17.0,82.6,46.3,82.2,,0.80,,,,51.9,52.2,53.7,8.7,,,4.3,7.9,,,,,,,23.0, 19.3 ,,,,,,,,,,
West Bank and Gaza,4.2, 55.6 , 43.0 ,  , 42.5 , 7.7 , 85.8 , 26.0 ,,,  ,  ,  ,26.3,32.8,40.9, 23.8 , 66.6 ,21.5,11.9, 72.1 ,  ,  ,  ," 3,464 ",0.0,,,,,0.73,,,,,,,4.0,,,19.6,30.6,,,,,,,, 14.0 ,,,,,,,,,,
"Yemen, Rep.",24.1,  ,  , 14.6 ,  ,  ,  ,  ,3.7,24,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,,,,,,,,,42.4,,,,,,,,,,,,,,,  ,,,,,,,,,,
Zambia,12.9,  ,  ,  ,  ,  ,  ,  ,7.0,,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,64.3,56.2,64.5,,,,,,11.5,12.5,10.6,,,,,,,,,,,,,  ,,,,,,,,,,
Zimbabwe,12.6,  ,  ,  ,  ,  ,  ,  ,7.7,,  ,  ,  ,,,,  ,   , , ,   ,  ,  ,  ,  ,,25.0,25.1,28.1,,,,,,13.9,10.4,5.3,,,,,,,,,,,,8.0,  ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
